bhk,rent,size,area_type,city,furnishing_status,tenant_preferred,bathroom,point_of_contact,posted_on,floor_level,suburb,id
1,4700,250,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,June,2,Kaikhali,100
1,4700,250,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,June,Ground,Dash Drone,101
1,4500,450,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,May,1,Rabindrapally,102
1,6000,300,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,June,Ground,Sector 1,103
1,4700,250,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,July,1,Kaikhali,104
2,14000,751,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,June,3,Baghajatin Place,105
2,9000,900,Carpet Area,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner,June,Ground,Lake Town,106
2,5000,400,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,June,1,Kestopur,107
2,17500,1000,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent,June,Ground,Bidhannagar,108
3,15000,1500,Carpet Area,Kolkata,Semi-Furnished,Family,2,Contact Owner,May,1,Chandannagar,109
1,13000,1200,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,2,Kasba,110
2,8000,700,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,May,Ground,Sakher Bazar,111
2,8000,1000,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,Ground,Chinar Park,112
2,7000,1200,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,June,1,Konnagar,113
2,2200,550,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,June,2,Silpara,114
2,8000,800,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,June,Ground,VIP Rd,115
3,20000,1100,Super Area,Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner,July,Ground,Thakurpukur,116
2,7000,950,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,May,Ground,Kaikhali,117
1,3500,250,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,May,1,Kankurgachi,118
3,20000,1000,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,June,Ground,Sector 1,119
2,7000,650,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,May,Ground,Kolkata,120
2,7000,700,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,May,Ground,Baguiati,121
3,12000,1000,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,June,Ground,EM Bypass,122
1,6000,700,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,May,1,EM Bypass,123
2,9500,700,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,July,1,Jadavpur,124
2,10000,450,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,June,2,Behala,125
1,3500,120,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,May,Ground,Cantonment,126
2,9000,800,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,June,1,New Garia,127
3,40000,1220,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,June,2,Sector III,128
2,12000,800,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,May,Ground,Santoshpur,129
4,40000,1300,Super Area,Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner,April,1,Ballygunge,130
1,5000,190,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,Ground,Baguihati,131
1,7000,240,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,June,Ground,Jadavpur,132
2,18000,850,Carpet Area,Kolkata,Semi-Furnished,Family,1,Contact Owner,May,2,Behala Chowrasta,133
2,4000,600,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,July,1,Kolkata,134
3,10500,800,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Owner,May,2,Tegharia,135
3,15000,1100,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,July,Ground,Survey Park,136
2,15000,800,Carpet Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,June,Ground,Baguiati,137
1,50000,2200,Super Area,Kolkata,Furnished,Bachelors/Family,3,Contact Owner,May,2,Kanchrapara,138
2,12000,1800,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Owner,June,1,Birati,139
2,8000,1000,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,May,Ground,Chinar Park,140
2,7000,685,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,May,2,Dum Dum Jn,141
1,6500,44,Carpet Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,May,Ground,Baranagar,142
4,13000,1200,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,June,Ground,Tollygunge,143
2,12000,1000,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,May,1,Jadavpur,144
2,5000,392,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,June,Ground,Jadavpur,145
1,5200,750,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,May,2,Kestopur,146
3,15000,1500,Super Area,Kolkata,Unfurnished,Family,2,Contact Owner,June,1,Behala Chowrasta,147
2,9000,900,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,April,Ground,Kestopur,148
1,24000,710,Super Area,Kolkata,Furnished,Bachelors,1,Contact Agent,July,1,Sector 1,149
1,10000,700,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,June,1,Garia,150
1,4700,250,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,June,1,Kaikhali,151
1,5000,500,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,Ground,Batanagar,152
2,5000,450,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,2,Birati,153
3,15000,1400,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,June,1,Survey Park,154
1,5000,500,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,1,Batanagar,155
3,18000,1200,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,June,1,Sector 1,156
1,13000,500,Carpet Area,Kolkata,Furnished,Bachelors,1,Contact Agent,June,2,Sector II,157
2,7500,400,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,July,Ground,Kolkata,158
1,6000,450,Super Area,Kolkata,Unfurnished,Family,1,Contact Owner,June,Ground,Baghajatin Place,159
3,20000,1000,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Agent,June,1,Sector III,160
4,30000,1600,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Agent,June,Ground,Sector III,161
1,6500,550,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,June,1,Jyangra,162
1,3000,200,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,June,2,Barasat,163
2,12500,680,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,May,Ground,Barrackpore,164
2,8500,720,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,June,Ground,Silpara,165
2,3500,500,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,June,4,Konnagar,166
2,7000,800,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,June,Ground,Madhyamgram,167
1,3000,160,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,May,Ground,Kudghat,168
2,14000,1200,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Agent,June,1,NDITA,169
1,18000,700,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,June,Ground,Sector III,170
1,3500,1000,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,June,Ground,Cantonment,171
2,16000,1250,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Agent,June,Ground,Kasba,172
4,35000,1600,Super Area,Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner,May,Ground,Bidhannagar,173
2,21000,700,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,June,Ground,Lake Gardens,174
1,4500,450,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,June,Ground,Silpara,175
2,15000,839,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,June,1,Kolkata,176
1,4500,230,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,July,Ground,Birati,177
1,5500,1800,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,May,Ground,Baranagar,178
2,8500,800,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,May,1,Baguihati,179
2,8500,620,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,May,Ground,Kasba,180
2,9000,650,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,April,2,Tollygunge,181
1,7500,550,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent,May,1,Naktala,182
2,7000,600,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,May,2,Park Circus,183
3,10000,1200,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,May,2,Belghoria,184
2,7000,700,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,June,1,Haridevpur,185
2,6000,600,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,June,Ground,Santoshpur,186
2,12000,900,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,June,1,Tollygunge,187
2,6000,750,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,May,Ground,Behala,188
3,12000,1000,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,3,Contact Owner,May,2,AA I,189
2,8000,600,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,June,Ground,Kolkata,190
2,5300,650,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,June,1,Sodepur,191
3,8500,800,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,June,Ground,Dum Dum Jn,192
2,7000,1000,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,June,Ground,Kumorpara,193
3,25000,1400,Carpet Area,Kolkata,Furnished,Bachelors,3,Contact Agent,June,5,Bidhannagar,194
2,7000,600,Carpet Area,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner,June,1,Barrackpore,195
2,8000,900,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,June,Ground,Belghoria,196
3,40000,1400,Carpet Area,Kolkata,Furnished,Bachelors/Family,2,Contact Agent,May,Ground,Sector II,197
1,6000,2160,Super Area,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner,June,1,Kasba,198
2,6500,800,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,June,1,Kanchrapara,199
3,8000,800,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,June,2,Bansdroni,200
1,5500,500,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,May,Ground,Garia Station Rd,201
1,15000,505,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,May,Ground,Kasba,202
4,30000,4000,Super Area,Kolkata,Furnished,Bachelors/Family,3,Contact Agent,July,Ground,Sakher Bazar,203
1,5000,700,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,June,Ground,Kolkata,204
2,15000,900,Super Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,June,Ground,Park Circus,205
1,6500,650,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,June,1,Joka,206
2,10000,900,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,June,Ground,Garia,207
1,1500,200,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,Ground,Santoshpur,208
2,12000,800,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,April,1,Kasba,209
1,3500,200,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,June,Upper,Baguihati,210
3,10000,1190,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,June,1,Sarsuna,211
2,14000,900,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Agent,May,Ground,Bidhannagar,212
2,15000,1500,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,May,Ground,Garia,213
2,6500,600,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,May,2,Thakurpukur,214
2,10500,800,Carpet Area,Kolkata,Unfurnished,Family,2,Contact Owner,May,1,Santoshpur,215
3,10000,900,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,June,Ground,Garia,216
2,9000,800,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,June,Ground,Sodepur,217
2,20000,1600,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Owner,June,Ground,188,218
3,35000,1012,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,May,2,Sector 1,219
2,20000,700,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,April,1,Sector 1,220
2,12000,1000,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,1,Behala,221
2,8000,800,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,June,Ground,Thakurpukur,222
3,20000,1200,Carpet Area,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner,May,Ground,Haridevpur,223
1,9000,450,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Agent,June,Ground,Sector II,224
3,13000,950,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,June,Ground,Rabindrapally,225
1,7000,350,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,June,Ground,NDITA,226
1,9000,450,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,June,Ground,NDITA,227
2,10000,300,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,May,Ground,Kestopur,228
3,15000,1250,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,May,Ground,Sakher Bazar,229
2,7000,700,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,June,2,Garia,230
3,8000,812,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,May,Ground,Kolkata,231
2,5000,600,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,May,Ground,Anandapuri,232
2,5000,420,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,June,Ground,Barasat,233
3,12000,1100,Super Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,June,Ground,Rabindrapally,234
1,3200,220,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,June,3,Sodepur,235
2,14000,800,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,May,Ground,EM Bypass,236
1,8000,300,Carpet Area,Kolkata,Furnished,Bachelors,1,Contact Agent,June,Ground,Bansdroni,237
2,7000,650,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,May,Ground,Baruipur,238
1,8000,600,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,May,1,Garia,239
1,3000,350,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,June,Ground,Belghoria,240
3,30000,1600,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,May,3,Ballygunge,241
1,8000,300,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent,June,Ground,NDITA,242
